banner_id,banner_type,name,type,rarity,count,guaranteed_pull_count
200001,Standard,aino,character,4,36327,0
200001,Standard,amber,character,4,1029310,0
200001,Standard,amos_bow,weapon,5,325031,0
200001,Standard,aquila_favonia,weapon,5,322378,0
200001,Standard,barbara,character,4,1030525,0
200001,Standard,beidou,character,4,1031138,0
200001,Standard,bennett,character,4,1033421,0
200001,Standard,candace,character,4,380190,0
200001,Standard,charlotte,character,4,237265,0
200001,Standard,chevreuse,character,4,224771,0
200001,Standard,chongyun,character,4,1031333,0
200001,Standard,collei,character,4,401957,0
200001,Standard,dahlia,character,4,60103,0
200001,Standard,dehya,character,5,215542,0
200001,Standard,diluc,character,5,544295,0
200001,Standard,diona,character,4,1026048,0
200001,Standard,dori,character,4,402327,0
200001,Standard,dragons_bane,weapon,4,1540339,0
200001,Standard,eye_of_perception,weapon,4,1539970,0
200001,Standard,faruzan,character,4,348932,0
200001,Standard,favonius_codex,weapon,4,1541068,0
200001,Standard,favonius_greatsword,weapon,4,1541682,0
200001,Standard,favonius_lance,weapon,4,1540863,0
200001,Standard,favonius_sword,weapon,4,1541572,0
200001,Standard,favonius_warbow,weapon,4,1542174,0
200001,Standard,fischl,character,4,1029901,0
200001,Standard,freminet,character,4,269123,0
200001,Standard,gaming,character,4,209638,0
200001,Standard,gorou,character,4,597629,0
200001,Standard,iansan,character,4,80116,0
200001,Standard,ifa,character,4,70225,0
200001,Standard,illuga,character,4,8720,0
200001,Standard,jahoda,character,4,19644,0
200001,Standard,jean,character,5,542485,0
200001,Standard,kachina,character,4,144042,0
200001,Standard,kaeya,character,4,1031907,0
200001,Standard,kaveh,character,4,307941,0
200001,Standard,keqing,character,5,543525,0
200001,Standard,kirara,character,4,295496,0
200001,Standard,kujou_sara,character,4,702637,0
200001,Standard,kuki_shinobu,character,4,444798,0
200001,Standard,lan_yan,character,4,102343,0
200001,Standard,layla,character,4,364744,0
200001,Standard,lions_roar,weapon,4,1540079,0
200001,Standard,lisa,character,4,1029772,0
200001,Standard,lost_prayer_to_the_sacred_winds,weapon,5,322886,0
200001,Standard,lynette,character,4,269311,0
200001,Standard,mika,character,4,319891,0
200001,Standard,mona,character,5,540949,0
200001,Standard,ningguang,character,4,1031131,0
200001,Standard,noelle,character,4,1030611,0
