banner_id,name,constellation_level,count
200001,aino,0,32559.0
200001,aino,1,3528.0
200001,aino,2,234.0
200001,aino,3,4.0
200001,aino,4,0.0
200001,aino,5,0.0
200001,aino,6,7.0
200001,amber,0,654887.0
200001,amber,1,257558.0
200001,amber,2,78339.0
200001,amber,3,23952.0
200001,amber,4,8060.0
200001,amber,5,2874.0
200001,amber,6,1176.0
200001,amber,7,2467.0
200001,amos_bow,0,289651.0
200001,amos_bow,1,31160.0
200001,amos_bow,2,3363.0
200001,amos_bow,3,480.0
200001,amos_bow,4,100.0
200001,amos_bow,5,36.0
200001,amos_bow,6,7.0
200001,amos_bow,7,234.0
200001,aquila_favonia,0,286988.0
200001,aquila_favonia,1,31136.0
200001,aquila_favonia,2,3402.0
200001,aquila_favonia,3,476.0
200001,aquila_favonia,4,85.0
200001,aquila_favonia,5,18.0
200001,aquila_favonia,6,14.0
200001,aquila_favonia,7,264.0
200001,barbara,0,656404.0
200001,barbara,1,258036.0
200001,barbara,2,77559.0
200001,barbara,3,24152.0
200001,barbara,4,8025.0
200001,barbara,5,2982.0
200001,barbara,6,1022.0
200001,barbara,7,2349.0
200001,beidou,0,656409.0
200001,beidou,1,258956.0
200001,beidou,2,77694.0
200001,beidou,3,23820.0
200001,beidou,4,7965.0
200001,beidou,5,2988.0
200001,beidou,6,1008.0
200001,beidou,7,2303.0
200001,bennett,0,656447.0
200001,bennett,1,260112.0
200001,bennett,2,78600.0
200001,bennett,3,24176.0
200001,bennett,4,7745.0
200001,bennett,5,2910.0
200001,bennett,6,1015.0
200001,bennett,7,2416.0
200001,candace,0,275774.0
200001,candace,1,81340.0
200001,candace,2,18087.0
200001,candace,3,3724.0
200001,candace,4,785.0
200001,candace,5,108.0
200001,candace,6,21.0
200001,candace,7,352.0
200001,charlotte,0,179037.0
200001,charlotte,1,48356.0
200001,charlotte,2,8409.0
200001,charlotte,3,1164.0
200001,charlotte,4,200.0
200001,charlotte,5,24.0
200001,charlotte,6,
200001,charlotte,7,77.0
200001,chevreuse,0,170803.0
200001,chevreuse,1,44956.0
200001,chevreuse,2,7656.0
200001,chevreuse,3,1160.0
200001,chevreuse,4,100.0
200001,chevreuse,5,30.0
200001,chevreuse,6,
200001,chevreuse,7,72.0
200001,chongyun,0,656485.0
200001,chongyun,1,259638.0
200001,chongyun,2,77100.0
200001,chongyun,3,23648.0
200001,chongyun,4,8195.0
200001,chongyun,5,2958.0
200001,chongyun,6,1022.0
200001,chongyun,7,2288.0
200001,collei,0,289135.0
200001,collei,1,87544.0
200001,collei,2,19710.0
200001,collei,3,4168.0
200001,collei,4,810.0
200001,collei,5,156.0
200001,collei,6,49.0
200001,collei,7,387.0
200001,dahlia,0,51944.0
200001,dahlia,1,7438.0
200001,dahlia,2,657.0
200001,dahlia,3,44.0
200001,dahlia,4,15.0
200001,dahlia,5,
200001,dahlia,6,
200001,dahlia,7,11.0
200001,dehya,0,185180.0
200001,dehya,1,27216.0
200001,dehya,2,2769.0
200001,dehya,3,212.0
200001,dehya,4,30.0
200001,dehya,5,6.0
200001,dehya,6,14.0
200001,dehya,7,122.0
200001,diluc,0,454012.0
200001,diluc,1,74738.0
200001,diluc,2,11961.0
200001,diluc,3,2324.0
200001,diluc,4,570.0
200001,diluc,5,114.0
200001,diluc,6,70.0
200001,diluc,7,508.0
200001,diona,0,656080.0
200001,diona,1,256822.0
200001,diona,2,76671.0
200001,diona,3,23440.0
200001,diona,4,7315.0
200001,diona,5,2712.0
200001,diona,6,980.0
200001,diona,7,2035.0
200001,dori,0,289864.0
200001,dori,1,86840.0
200001,dori,2,19770.0
200001,dori,3,4312.0
200001,dori,4,925.0
200001,dori,5,180.0
200001,dori,6,35.0
200001,dori,7,407.0
200001,dragons_bane,0,822808.0
200001,dragons_bane,1,432958.0
200001,dragons_bane,2,167658.0
200001,dragons_bane,3,65352.0
200001,dragons_bane,4,28135.0
200001,dragons_bane,5,12348.0
200001,dragons_bane,6,5068.0
200001,dragons_bane,7,6023.0
200001,eye_of_perception,0,824721.0
200001,eye_of_perception,1,432708.0
200001,eye_of_perception,2,166782.0
200001,eye_of_perception,3,64768.0
200001,eye_of_perception,4,27700.0
200001,eye_of_perception,5,12138.0
200001,eye_of_perception,6,5292.0
200001,eye_of_perception,7,5865.0
200001,faruzan,0,253749.0
200001,faruzan,1,74920.0
200001,faruzan,2,16146.0
200001,faruzan,3,3028.0
200001,faruzan,4,635.0
200001,faruzan,5,138.0
200001,faruzan,6,42.0
200001,faruzan,7,272.0
200001,favonius_codex,0,824875.0
200001,favonius_codex,1,433076.0
200001,favonius_codex,2,166944.0
200001,favonius_codex,3,65396.0
200001,favonius_codex,4,27040.0
200001,favonius_codex,5,12258.0
200001,favonius_codex,6,5488.0
200001,favonius_codex,7,5999.0
200001,favonius_greatsword,0,823778.0
200001,favonius_greatsword,1,433264.0
200001,favonius_greatsword,2,167082.0
200001,favonius_greatsword,3,65024.0
200001,favonius_greatsword,4,28595.0
200001,favonius_greatsword,5,12378.0
200001,favonius_greatsword,6,5803.0
200001,favonius_greatsword,7,5772.0
200001,favonius_lance,0,825063.0
200001,favonius_lance,1,432812.0
200001,favonius_lance,2,166761.0
200001,favonius_lance,3,65388.0
200001,favonius_lance,4,27820.0
200001,favonius_lance,5,12264.0
200001,favonius_lance,6,5124.0
200001,favonius_lance,7,5640.0
200001,favonius_sword,0,824573.0
200001,favonius_sword,1,434430.0
200001,favonius_sword,2,165990.0
200001,favonius_sword,3,65664.0
200001,favonius_sword,4,28050.0
200001,favonius_sword,5,11898.0
200001,favonius_sword,6,4984.0
200001,favonius_sword,7,5992.0
200001,favonius_warbow,0,824514.0
200001,favonius_warbow,1,432918.0
200001,favonius_warbow,2,166980.0
200001,favonius_warbow,3,65924.0
200001,favonius_warbow,4,28465.0
200001,favonius_warbow,5,12258.0
200001,favonius_warbow,6,5404.0
200001,favonius_warbow,7,5720.0
200001,fischl,0,657092.0
200001,fischl,1,257554.0
200001,fischl,2,77580.0
200001,fischl,3,23564.0
200001,fischl,4,7940.0
200001,fischl,5,2754.0
200001,fischl,6,1008.0
200001,fischl,7,2413.0
200001,freminet,0,200530.0
200001,freminet,1,55946.0
200001,freminet,2,10440.0
200001,freminet,3,1796.0
200001,freminet,4,225.0
200001,freminet,5,42.0
200001,freminet,6,21.0
200001,freminet,7,122.0
200001,gaming,0,160432.0
200001,gaming,1,41542.0
200001,gaming,2,6759.0
200001,gaming,3,768.0
200001,gaming,4,70.0
200001,gaming,5,12.0
200001,gaming,6,
200001,gaming,7,59.0
200001,gorou,0,422894.0
200001,gorou,1,130566.0
200001,gorou,2,32325.0
200001,gorou,3,8224.0
200001,gorou,4,2050.0
200001,gorou,5,612.0
200001,gorou,6,196.0
200001,gorou,7,764.0
200001,iansan,0,67035.0
200001,iansan,1,11704.0
200001,iansan,2,1266.0
