banner_id,rarity_class,pity_index,count
200001,legendary,1,0.0
200001,legendary,2,73735.0
200001,legendary,3,73990.0
200001,legendary,4,74269.0
200001,legendary,5,73872.0
200001,legendary,6,73475.0
200001,legendary,7,73182.0
200001,legendary,8,72383.0
200001,legendary,9,71757.0
200001,legendary,10,70905.0
200001,legendary,11,70383.0
200001,legendary,12,70506.0
200001,legendary,13,69179.0
200001,legendary,14,68669.0
200001,legendary,15,68375.0
200001,legendary,16,67982.0
200001,legendary,17,67306.0
200001,legendary,18,66655.0
200001,legendary,19,65946.0
200001,legendary,20,65395.0
200001,legendary,21,65063.0
200001,legendary,22,63600.0
200001,legendary,23,63460.0
200001,legendary,24,62547.0
200001,legendary,25,61828.0
200001,legendary,26,61500.0
200001,legendary,27,61157.0
200001,legendary,28,61203.0
200001,legendary,29,60285.0
200001,legendary,30,59041.0
200001,legendary,31,58674.0
200001,legendary,32,57661.0
200001,legendary,33,57026.0
200001,legendary,34,56577.0
200001,legendary,35,56197.0
200001,legendary,36,56210.0
200001,legendary,37,55096.0
200001,legendary,38,54769.0
200001,legendary,39,54416.0
200001,legendary,40,53425.0
200001,legendary,41,52755.0
200001,legendary,42,51800.0
200001,legendary,43,51298.0
200001,legendary,44,50325.0
200001,legendary,45,50589.0
200001,legendary,46,50308.0
200001,legendary,47,49279.0
200001,legendary,48,49203.0
200001,legendary,49,48165.0
200001,legendary,50,47719.0
200001,legendary,51,46917.0
200001,legendary,52,46090.0
200001,legendary,53,45593.0
200001,legendary,54,45073.0
200001,legendary,55,45129.0
200001,legendary,56,44954.0
200001,legendary,57,43980.0
200001,legendary,58,44030.0
200001,legendary,59,43592.0
200001,legendary,60,42092.0
200001,legendary,61,42075.0
200001,legendary,62,40708.0
200001,legendary,63,40584.0
200001,legendary,64,40474.0
200001,legendary,65,40654.0
200001,legendary,66,40369.0
200001,legendary,67,40738.0
200001,legendary,68,40417.0
200001,legendary,69,40451.0
200001,legendary,70,39421.0
200001,legendary,71,38658.0
200001,legendary,72,37758.0
